datetime,open,high,low,close,volume
2025-05-02T00:00:00+08:00,36.8,37.2,36.75,36.9,392712
2025-05-05T00:00:00+08:00,37.0,40.55,37.0,40.55,2538941
2025-05-06T00:00:00+08:00,40.85,41.75,39.2,40.4,1872612
2025-05-07T00:00:00+08:00,40.4,44.35,39.5,44.0,1919230
2025-05-08T00:00:00+08:00,43.85,46.5,43.25,44.15,3046185
2025-05-09T00:00:00+08:00,44.15,44.15,42.55,43.05,1445495
2025-05-12T00:00:00+08:00,43.0,43.6,42.0,42.1,883584
2025-05-13T00:00:00+08:00,42.4,43.2,41.4,41.5,822035
2025-05-14T00:00:00+08:00,42.2,44.45,42.2,44.25,2364580
2025-05-15T00:00:00+08:00,45.0,45.65,43.3,43.55,1472093
2025-05-16T00:00:00+08:00,44.35,44.5,43.3,43.4,768354
2025-05-19T00:00:00+08:00,43.0,44.3,42.6,43.05,612536
2025-05-20T00:00:00+08:00,43.35,43.35,42.2,43.0,604871
2025-05-21T00:00:00+08:00,42.65,43.5,42.55,42.8,349448
2025-05-22T00:00:00+08:00,42.8,42.8,42.05,42.1,331129
2025-05-23T00:00:00+08:00,41.9,42.0,40.2,40.35,1326610
2025-05-26T00:00:00+08:00,41.0,41.0,40.2,40.9,571377
2025-05-27T00:00:00+08:00,40.9,41.3,39.95,40.0,446097
2025-05-28T00:00:00+08:00,39.4,40.5,39.4,39.8,446187
2025-05-29T00:00:00+08:00,40.1,41.5,39.7,41.5,689903
2025-06-02T00:00:00+08:00,41.3,41.3,39.15,39.35,794375
2025-06-03T00:00:00+08:00,39.5,39.95,38.7,38.8,319687
2025-06-04T00:00:00+08:00,38.8,39.95,38.8,39.5,258329
2025-06-05T00:00:00+08:00,39.5,41.35,39.5,40.75,625447
2025-06-06T00:00:00+08:00,40.75,40.95,39.7,39.9,301407
2025-06-09T00:00:00+08:00,39.8,40.0,39.25,40.0,239941
2025-06-10T00:00:00+08:00,39.9,40.5,39.6,39.8,376381
2025-06-11T00:00:00+08:00,41.6,43.75,41.6,43.6,3030948
2025-06-12T00:00:00+08:00,41.15,41.6,39.85,40.4,1732383
2025-06-13T00:00:00+08:00,40.05,40.5,39.55,39.85,528146
2025-06-16T00:00:00+08:00,40.0,40.0,38.8,39.25,665695
2025-06-17T00:00:00+08:00,39.65,39.65,38.9,39.3,328812
