datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-11-03T00:00:00+08:00,84.1,84.5,83.0,84.5,224138,35000.0,0.0,-2991.0
2025-11-04T00:00:00+08:00,84.5,84.8,83.6,84.7,191930,27000.0,0.0,1000.0
2025-11-05T00:00:00+08:00,84.4,87.5,83.6,86.9,519562,16175.0,0.0,-10047.0
2025-11-06T00:00:00+08:00,87.1,87.2,86.1,87.1,252504,19000.0,0.0,5900.0
2025-11-07T00:00:00+08:00,86.5,86.5,83.7,84.0,506680,-294000.0,0.0,3964.0
2025-11-10T00:00:00+08:00,84.2,84.9,83.5,83.8,124956,0.0,0.0,1000.0
2025-11-11T00:00:00+08:00,84.0,85.0,83.2,83.5,233212,-49992.0,0.0,2000.0
2025-11-12T00:00:00+08:00,83.5,84.0,83.2,84.0,142950,37000.0,0.0,0.0
2025-11-13T00:00:00+08:00,82.4,83.8,81.6,82.0,302930,-89000.0,0.0,-5201.0
2025-11-14T00:00:00+08:00,81.3,82.0,81.0,81.1,131658,-24000.0,0.0,0.0
2025-11-17T00:00:00+08:00,81.1,81.1,79.7,79.8,249620,16102.0,0.0,5105.0
2025-11-18T00:00:00+08:00,79.4,80.5,79.4,79.6,129211,-3000.0,0.0,-2000.0
2025-11-19T00:00:00+08:00,79.6,79.9,78.7,78.8,184454,12000.0,0.0,-18891.0
2025-11-20T00:00:00+08:00,80.1,81.1,79.7,79.9,98273,0.0,0.0,390.0
2025-11-21T00:00:00+08:00,79.1,80.0,78.5,78.9,245709,35155.0,0.0,9202.0
2025-11-24T00:00:00+08:00,78.9,79.7,78.9,79.6,87912,24000.0,0.0,3673.0
2025-11-25T00:00:00+08:00,79.6,80.0,79.1,79.7,65458,-5000.0,0.0,-152.0
2025-11-26T00:00:00+08:00,79.7,80.9,79.7,80.5,163571,80008.0,0.0,1000.0
2025-11-27T00:00:00+08:00,80.2,81.0,80.0,80.8,114012,12000.0,0.0,-2000.0
2025-11-28T00:00:00+08:00,81.1,81.5,80.7,81.5,73373,3000.0,0.0,4000.0
2025-12-01T00:00:00+08:00,81.1,81.1,79.6,80.4,201486,-52000.0,0.0,2045.0
2025-12-02T00:00:00+08:00,80.4,80.6,80.0,80.5,52794,-4000.0,0.0,765.0
2025-12-03T00:00:00+08:00,80.5,81.2,80.3,81.1,91413,25000.0,0.0,3115.0
2025-12-04T00:00:00+08:00,81.1,81.3,80.6,81.3,55328,6000.0,0.0,1800.0
2025-12-05T00:00:00+08:00,80.8,80.9,80.4,80.5,63285,-29000.0,0.0,12878.0
2025-12-08T00:00:00+08:00,80.5,80.5,79.7,80.0,105275,-31000.0,0.0,5249.0
2025-12-09T00:00:00+08:00,79.0,79.2,77.6,78.3,305774,-94000.0,0.0,-4219.0
2025-12-10T00:00:00+08:00,78.3,79.1,78.3,78.7,88002,5000.0,0.0,-1000.0
2025-12-11T00:00:00+08:00,78.7,79.1,77.8,78.2,171426,-37876.0,0.0,1658.0
2025-12-12T00:00:00+08:00,78.5,79.0,78.0,78.1,63577,4000.0,0.0,971.0
2025-12-15T00:00:00+08:00,77.5,78.2,77.2,78.2,96653,9000.0,0.0,733.0
2025-12-16T00:00:00+08:00,78.0,78.3,77.4,78.2,129262,-25000.0,0.0,-3540.0
2025-12-17T00:00:00+08:00,78.3,78.8,78.2,78.4,106446,-8000.0,0.0,0.0
2025-12-18T00:00:00+08:00,78.3,78.8,78.0,78.4,69195,5000.0,0.0,7000.0
2025-12-19T00:00:00+08:00,78.8,79.0,78.5,78.9,61160,9000.0,0.0,-1000.0
2025-12-22T00:00:00+08:00,78.9,78.9,78.2,78.5,109527,-34000.0,0.0,1811.0
