datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,446.0,448.5,433.0,438.5,2569511,,,,,,,,,
2025-05-05T00:00:00+08:00,442.5,442.5,422.5,429.5,2126730,,,,,,,,,
2025-05-06T00:00:00+08:00,428.0,438.5,423.5,434.0,1231261,,,,,,,,,
2025-05-07T00:00:00+08:00,432.0,437.5,431.0,434.0,1094170,,,,,,,,,
2025-05-08T00:00:00+08:00,434.0,444.0,431.5,442.0,1177150,,,,,,,,,
2025-05-09T00:00:00+08:00,444.0,460.0,439.5,453.0,1762074,,,,,,,,,
2025-05-12T00:00:00+08:00,460.0,460.0,449.5,454.0,1085150,,,,,,,,,
2025-05-13T00:00:00+08:00,458.5,461.0,449.0,455.0,1487966,,,,,,,,,
2025-05-14T00:00:00+08:00,459.0,466.0,454.0,463.0,1758428,,,,,,,,,
2025-05-15T00:00:00+08:00,483.5,509.0,483.5,509.0,5907480,,,,,,,,,
2025-05-16T00:00:00+08:00,511.0,546.0,500.0,540.0,7805300,,,,,,,,,
2025-05-19T00:00:00+08:00,536.0,558.0,536.0,550.0,4328791,,,,,,,,,
2025-05-20T00:00:00+08:00,550.0,558.0,540.0,542.0,3221149,,,,,,,,,
2025-05-21T00:00:00+08:00,548.0,558.0,543.0,555.0,2263358,,,,,,,,,
2025-05-22T00:00:00+08:00,548.0,556.0,546.0,556.0,1523695,,,,,,,,,
2025-05-23T00:00:00+08:00,563.0,565.0,534.0,542.0,2837627,,,,,,,,,
2025-05-26T00:00:00+08:00,545.0,546.0,536.0,540.0,1022759,,,,,,,,,
2025-05-27T00:00:00+08:00,538.0,545.0,535.0,536.0,847678,,,,,,,,,
2025-05-28T00:00:00+08:00,546.0,556.0,541.0,546.0,1962932,,,,,,,,,
2025-05-29T00:00:00+08:00,552.0,562.0,548.0,559.0,2756904,,,,,,,,,
