datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-06-02T00:00:00+08:00,18.0,18.0,17.4,17.4,62004,-15000.0,0.0,0.0
2025-06-03T00:00:00+08:00,17.55,17.55,16.9,17.05,45005,2000.0,0.0,1000.0
2025-06-04T00:00:00+08:00,17.35,18.3,17.3,18.0,68114,6000.0,0.0,-1000.0
2025-06-05T00:00:00+08:00,18.0,18.15,17.5,17.7,18039,-8000.0,0.0,0.0
2025-06-06T00:00:00+08:00,18.5,18.5,17.4,17.4,35009,-7000.0,0.0,0.0
2025-06-09T00:00:00+08:00,18.15,18.15,17.4,17.5,52016,-28000.0,0.0,0.0
2025-06-10T00:00:00+08:00,18.2,18.2,17.55,17.55,28112,,,
2025-06-11T00:00:00+08:00,17.95,17.95,17.6,17.6,30003,-5000.0,0.0,3000.0
2025-06-12T00:00:00+08:00,17.45,17.45,16.25,17.35,58006,-1000.0,0.0,0.0
2025-06-13T00:00:00+08:00,17.3,17.35,17.05,17.1,69011,16000.0,0.0,-1000.0
2025-06-16T00:00:00+08:00,16.9,17.5,16.9,17.5,77008,-1000.0,0.0,1000.0
2025-06-17T00:00:00+08:00,17.8,17.8,17.5,17.55,25062,-11000.0,0.0,-3000.0
2025-06-18T00:00:00+08:00,17.05,17.6,17.0,17.0,83001,2000.0,0.0,-1000.0
2025-06-19T00:00:00+08:00,16.85,17.2,16.85,16.9,22001,-8000.0,0.0,0.0
2025-06-20T00:00:00+08:00,16.9,17.35,16.65,17.15,45002,-4000.0,0.0,1000.0
2025-06-23T00:00:00+08:00,17.2,17.25,16.8,17.1,54004,-13000.0,0.0,-1000.0
2025-06-24T00:00:00+08:00,17.15,17.5,16.9,16.9,75092,-59000.0,0.0,0.0
2025-06-25T00:00:00+08:00,16.9,17.0,16.9,16.9,66051,-4000.0,0.0,0.0
2025-06-26T00:00:00+08:00,16.9,17.1,16.65,16.65,29180,3000.0,0.0,1000.0
2025-06-27T00:00:00+08:00,16.75,17.35,16.6,17.0,594245,-49800.0,0.0,0.0
2025-06-30T00:00:00+08:00,16.8,16.9,16.0,16.8,126462,-104000.0,0.0,-1000.0
2025-07-01T00:00:00+08:00,16.8,16.85,16.45,16.45,29001,4996.0,0.0,0.0
2025-07-02T00:00:00+08:00,16.5,16.75,16.5,16.75,5029,-1000.0,0.0,0.0
2025-07-03T00:00:00+08:00,16.2,16.7,16.15,16.55,64003,10000.0,0.0,1000.0
2025-07-04T00:00:00+08:00,16.2,16.35,16.0,16.1,86199,-24000.0,0.0,0.0
2025-07-07T00:00:00+08:00,16.2,16.2,15.9,16.0,24008,-4000.0,0.0,0.0
2025-07-08T00:00:00+08:00,15.6,15.85,15.5,15.85,46000,-3000.0,0.0,-1000.0
2025-07-09T00:00:00+08:00,15.9,16.1,15.8,16.1,49001,7000.0,0.0,0.0
2025-07-10T00:00:00+08:00,16.05,16.1,15.9,15.9,31000,-5000.0,0.0,0.0
2025-07-11T00:00:00+08:00,16.0,16.0,15.9,16.0,543000,2000.0,0.0,0.0
2025-07-14T00:00:00+08:00,16.45,16.45,15.5,15.5,123003,-76000.0,0.0,1000.0
