datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-06-02T00:00:00+08:00,121.0,121.0,117.0,117.0,161929,-30905.0,0.0,2200.0
2025-06-03T00:00:00+08:00,117.0,119.0,117.0,118.0,108217,24817.0,0.0,-2000.0
2025-06-04T00:00:00+08:00,121.0,123.5,119.5,119.5,224969,28004.0,0.0,0.0
2025-06-05T00:00:00+08:00,120.0,123.0,119.5,121.0,124635,31010.0,0.0,-1000.0
2025-06-06T00:00:00+08:00,121.5,121.5,120.0,121.0,80049,32590.0,0.0,-1000.0
2025-06-09T00:00:00+08:00,122.5,125.0,121.0,125.0,186303,22671.0,0.0,-2444.0
2025-06-10T00:00:00+08:00,125.0,127.0,124.5,126.0,181136,,,
2025-06-11T00:00:00+08:00,127.0,128.5,125.5,126.5,165111,44249.0,0.0,-1000.0
2025-06-12T00:00:00+08:00,127.5,127.5,125.0,127.5,139612,17142.0,0.0,0.0
2025-06-13T00:00:00+08:00,126.5,126.5,122.0,122.0,221156,-53406.0,0.0,-1007.0
2025-06-16T00:00:00+08:00,123.5,123.5,119.5,123.5,220601,4000.0,0.0,269.0
2025-06-17T00:00:00+08:00,125.5,126.5,123.5,123.5,158940,60080.0,0.0,51.0
2025-06-18T00:00:00+08:00,123.5,127.5,123.5,127.0,245949,106945.0,0.0,266.0
2025-06-19T00:00:00+08:00,127.0,127.0,123.5,123.5,134714,-31025.0,0.0,223.0
2025-06-20T00:00:00+08:00,126.0,126.0,121.0,122.0,128942,-27000.0,0.0,69.0
2025-06-23T00:00:00+08:00,119.0,120.5,117.0,120.5,99815,-24025.0,0.0,-1304.0
2025-06-24T00:00:00+08:00,123.0,128.0,123.0,127.5,346003,239000.0,0.0,889.0
2025-06-25T00:00:00+08:00,133.0,133.0,128.5,129.0,606125,-113000.0,0.0,-4315.0
2025-06-26T00:00:00+08:00,129.0,130.0,125.5,126.0,246104,-35620.0,0.0,-4145.0
2025-06-27T00:00:00+08:00,126.0,126.5,122.0,123.5,227403,-51800.0,0.0,-1000.0
2025-06-30T00:00:00+08:00,123.5,123.5,120.5,121.0,176345,-24000.0,0.0,0.0
2025-07-01T00:00:00+08:00,122.0,123.5,121.0,121.5,151793,15000.0,0.0,1460.0
2025-07-02T00:00:00+08:00,120.5,127.0,120.5,125.5,243718,59000.0,0.0,-287.0
2025-07-03T00:00:00+08:00,126.5,126.5,123.0,123.0,186911,36040.0,0.0,-83.0
2025-07-04T00:00:00+08:00,125.0,125.0,120.0,120.0,185831,-93000.0,0.0,0.0
2025-07-07T00:00:00+08:00,118.5,120.0,118.0,119.0,110158,-55000.0,0.0,1100.0
2025-07-08T00:00:00+08:00,118.5,119.0,116.0,117.0,208722,-57000.0,0.0,-89.0
2025-07-09T00:00:00+08:00,119.5,123.0,119.5,120.5,238990,-4000.0,0.0,0.0
2025-07-10T00:00:00+08:00,122.0,127.0,121.0,124.5,420797,169000.0,0.0,-426.0
2025-07-11T00:00:00+08:00,127.0,133.5,125.0,127.0,1122057,-34000.0,0.0,-8370.0
2025-07-14T00:00:00+08:00,127.0,127.0,123.5,123.5,254249,-43000.0,0.0,-101.0
2025-07-15T00:00:00+08:00,123.5,128.0,123.5,126.0,226283,-11000.0,0.0,-103.0
2025-07-16T00:00:00+08:00,127.0,132.0,126.5,127.5,464825,-42200.0,0.0,22580.0
2025-07-17T00:00:00+08:00,129.0,140.0,128.5,140.0,1732612,277000.0,0.0,-18081.0
2025-07-18T00:00:00+08:00,142.0,144.5,137.0,144.5,3360074,-372000.0,0.0,-18856.0
2025-07-21T00:00:00+08:00,143.5,145.5,137.0,138.5,1425381,-339390.0,0.0,-843.0
2025-07-22T00:00:00+08:00,138.5,141.0,132.5,132.5,1064689,15020.0,0.0,1177.0
2025-07-23T00:00:00+08:00,133.0,135.5,131.5,131.5,512676,-135000.0,0.0,1857.0
2025-07-24T00:00:00+08:00,133.0,134.5,130.0,134.5,424306,-104990.0,0.0,5997.0
2025-07-25T00:00:00+08:00,134.5,139.0,133.5,135.5,688860,-61000.0,0.0,4347.0
2025-07-28T00:00:00+08:00,137.5,139.5,133.5,136.0,631146,-94450.0,0.0,-3721.0
2025-07-29T00:00:00+08:00,135.0,136.0,132.0,134.0,364719,-30000.0,0.0,3681.0
2025-07-30T00:00:00+08:00,135.0,141.0,134.0,138.5,894783,35000.0,0.0,6932.0
2025-07-31T00:00:00+08:00,139.0,140.5,135.5,136.0,468411,-100000.0,0.0,413.0
2025-08-01T00:00:00+08:00,134.5,146.0,133.0,145.0,1336223,242000.0,0.0,20565.0
2025-08-04T00:00:00+08:00,144.0,145.0,141.0,142.0,671687,-41986.0,0.0,459.0
2025-08-05T00:00:00+08:00,145.0,155.5,143.5,148.0,2536229,-179000.0,33000.0,17693.0
2025-08-06T00:00:00+08:00,146.5,149.5,144.5,146.0,799173,-118941.0,0.0,-3022.0
2025-08-07T00:00:00+08:00,150.5,158.0,148.5,152.5,1656881,-220000.0,0.0,11528.0
2025-08-08T00:00:00+08:00,152.5,154.0,150.0,151.0,690111,-39820.0,0.0,16547.0
2025-08-11T00:00:00+08:00,156.0,156.0,147.5,150.5,885421,94000.0,0.0,-4717.0
2025-08-12T00:00:00+08:00,150.0,152.5,147.5,151.0,852386,126000.0,0.0,7008.0
2025-08-13T00:00:00+08:00,153.0,154.0,146.0,148.0,824528,-110000.0,0.0,-3315.0
2025-08-14T00:00:00+08:00,148.0,153.0,148.0,152.0,697522,261000.0,0.0,10.0
2025-08-15T00:00:00+08:00,153.0,154.0,149.5,150.0,379630,-42000.0,0.0,1105.0
2025-08-18T00:00:00+08:00,150.0,159.5,150.0,156.5,1474498,84000.0,0.0,14772.0
2025-08-19T00:00:00+08:00,156.5,160.0,153.0,156.5,892293,-103000.0,0.0,1323.0
2025-08-20T00:00:00+08:00,154.0,154.5,149.0,149.0,854233,38000.0,0.0,-42803.0
2025-08-21T00:00:00+08:00,151.0,154.0,148.5,149.5,409055,58000.0,0.0,0.0
