datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-11-03T00:00:00+08:00,101.5,101.5,99.2,100.0,3824388,-943980.0,-1000.0,-19069.0
2025-11-04T00:00:00+08:00,101.0,101.5,97.5,97.5,2823186,-472000.0,-1000.0,-9827.0
2025-11-05T00:00:00+08:00,95.0,102.0,94.7,101.0,4631740,-895136.0,0.0,43042.0
2025-11-06T00:00:00+08:00,101.5,102.0,100.0,101.0,3115491,-331000.0,0.0,-39393.0
2025-11-07T00:00:00+08:00,99.0,99.5,96.2,96.7,3695087,-1524773.0,0.0,-39088.0
2025-11-10T00:00:00+08:00,96.6,97.1,95.2,95.6,1734630,-189000.0,0.0,-8200.0
2025-11-11T00:00:00+08:00,95.8,98.4,95.7,95.9,1737800,110000.0,0.0,27998.0
2025-11-12T00:00:00+08:00,96.5,96.9,95.5,96.2,1089893,-152000.0,0.0,-20519.0
2025-11-13T00:00:00+08:00,96.2,97.8,95.3,96.2,1394112,-97000.0,0.0,476.0
2025-11-14T00:00:00+08:00,95.1,96.1,92.8,93.1,2025020,-561000.0,-1000.0,-10044.0
2025-11-17T00:00:00+08:00,93.9,94.4,91.7,91.7,1827813,82064.0,0.0,6697.0
2025-11-18T00:00:00+08:00,91.1,92.6,90.0,90.0,1818184,194000.0,0.0,-19656.0
2025-11-19T00:00:00+08:00,90.5,90.7,88.5,88.6,1339511,-541000.0,-1000.0,-9774.0
2025-11-20T00:00:00+08:00,90.1,92.3,89.6,91.0,2033837,-369000.0,0.0,1111.0
2025-11-21T00:00:00+08:00,89.4,90.3,88.2,88.3,1212198,-287740.0,-1000.0,-18467.0
2025-11-24T00:00:00+08:00,89.2,89.3,87.0,88.1,1101924,-310000.0,15000.0,1323.0
2025-11-25T00:00:00+08:00,89.4,90.6,88.8,89.8,1131707,-64585.0,0.0,1177.0
2025-11-26T00:00:00+08:00,90.7,91.6,90.4,90.8,800224,79000.0,0.0,-7152.0
2025-11-27T00:00:00+08:00,91.2,91.9,91.0,91.5,1428280,-493000.0,0.0,482.0
2025-11-28T00:00:00+08:00,92.2,93.4,91.3,93.0,2362876,-134000.0,0.0,2073.0
2025-12-01T00:00:00+08:00,92.7,92.7,91.1,91.2,731213,-208000.0,0.0,-4271.0
2025-12-02T00:00:00+08:00,91.2,91.5,89.3,89.3,968780,-124000.0,0.0,2211.0
2025-12-03T00:00:00+08:00,90.0,91.3,89.7,90.8,475241,81000.0,0.0,-5136.0
2025-12-04T00:00:00+08:00,91.4,91.7,89.8,89.8,494045,-30000.0,0.0,1973.0
2025-12-05T00:00:00+08:00,90.1,90.1,88.8,89.8,311057,-61000.0,0.0,288.0
2025-12-08T00:00:00+08:00,88.0,89.8,87.1,89.3,1147950,-291000.0,-1000.0,-7622.0
2025-12-09T00:00:00+08:00,89.2,90.2,88.6,88.6,952804,-134000.0,-1000.0,-2439.0
2025-12-10T00:00:00+08:00,89.5,90.0,89.0,89.1,1177549,-165000.0,-3000.0,-4359.0
2025-12-11T00:00:00+08:00,89.9,90.4,88.5,88.6,1108948,74000.0,-2000.0,-2461.0
2025-12-12T00:00:00+08:00,89.0,89.6,88.3,88.7,543120,-138000.0,-1000.0,684.0
2025-12-15T00:00:00+08:00,87.5,88.1,87.2,87.5,574730,-177000.0,0.0,-1085.0
2025-12-16T00:00:00+08:00,87.5,87.8,85.3,86.5,771925,45000.0,0.0,-11220.0
2025-12-17T00:00:00+08:00,86.7,91.9,86.7,90.6,3056610,145000.0,-1000.0,8783.0
2025-12-18T00:00:00+08:00,90.8,90.8,89.3,89.8,950112,-327000.0,0.0,189.0
2025-12-19T00:00:00+08:00,90.7,90.7,89.5,89.9,784113,-139227.0,0.0,1156.0
2025-12-22T00:00:00+08:00,90.3,91.8,89.9,91.5,1153219,25000.0,-1000.0,-2954.0
