datetime,open,high,low,close,volume,foreign_net_buy_x,invest_trust_net_buy_x,dealer_net_buy_x,foreign_net_buy_y,invest_trust_net_buy_y,dealer_net_buy_y
2025-06-11T00:00:00+08:00,13.0,13.05,12.65,12.95,3745649,,,,,,
2025-06-12T00:00:00+08:00,12.95,13.0,12.85,12.9,1028034,,,,,,
2025-06-13T00:00:00+08:00,12.9,12.9,12.65,12.7,2493723,,,,,,
2025-06-16T00:00:00+08:00,12.6,12.8,12.55,12.65,1136214,,,,,,
2025-06-17T00:00:00+08:00,12.7,12.75,12.6,12.65,1015633,,,,,,
2025-06-18T00:00:00+08:00,12.65,12.8,12.65,12.7,949186,,,,,,
2025-06-19T00:00:00+08:00,12.65,12.65,12.35,12.4,2953245,,,,,,
2025-06-20T00:00:00+08:00,12.35,12.4,12.2,12.2,3274917,,,,,,
2025-06-23T00:00:00+08:00,12.0,12.25,11.95,12.15,1347288,,,,,,
2025-06-24T00:00:00+08:00,12.25,12.4,12.2,12.2,1086569,,,,,,
2025-06-25T00:00:00+08:00,12.25,12.3,12.15,12.2,1005950,,,,,,
2025-06-26T00:00:00+08:00,12.2,12.45,12.2,12.3,1273875,,,,,,
2025-06-27T00:00:00+08:00,12.35,12.5,12.3,12.35,1405674,,,,,,
2025-06-30T00:00:00+08:00,12.45,12.45,12.2,12.2,1177791,,,,,,
2025-07-01T00:00:00+08:00,12.25,12.55,12.25,12.4,1768470,,,,,,
2025-07-02T00:00:00+08:00,12.4,12.55,12.4,12.45,947978,,,,,,
2025-07-03T00:00:00+08:00,12.5,12.7,12.5,12.6,1659308,,,,,,
2025-07-04T00:00:00+08:00,12.6,12.7,12.45,12.55,1462102,,,,,,
2025-07-07T00:00:00+08:00,12.45,12.5,12.4,12.4,835252,,,,,,
2025-07-08T00:00:00+08:00,12.4,12.4,12.15,12.25,1919414,,,,,,
2025-07-09T00:00:00+08:00,12.2,12.25,12.15,12.2,1245620,,,,,,
2025-07-10T00:00:00+08:00,12.2,12.35,12.15,12.25,1361184,,,,,,
2025-07-11T00:00:00+08:00,12.25,12.4,12.2,12.3,2193470,,,,,,
2025-07-14T00:00:00+08:00,12.3,12.4,12.25,12.3,1749240,,,,,,
2025-07-15T00:00:00+08:00,11.85,11.9,11.3,11.4,5095133,,,,,,
2025-07-16T00:00:00+08:00,11.35,11.7,11.35,11.55,2532503,,,,,,
2025-07-17T00:00:00+08:00,11.6,11.8,11.6,11.6,2347186,,,,,,
2025-07-18T00:00:00+08:00,11.65,11.7,11.5,11.5,2385713,,,,,,
2025-07-21T00:00:00+08:00,11.5,11.55,11.4,11.4,2001671,,,,,,
2025-07-22T00:00:00+08:00,11.4,11.4,11.15,11.15,3140533,,,,,,
2025-07-23T00:00:00+08:00,11.25,11.6,11.25,11.6,1595840,,,,,,
2025-07-24T00:00:00+08:00,11.55,11.6,11.45,11.5,1203728,,,,,,
2025-07-25T00:00:00+08:00,11.5,11.7,11.5,11.65,1053250,,,,,,
2025-07-28T00:00:00+08:00,11.7,11.7,11.5,11.5,996633,,,,,,
2025-07-29T00:00:00+08:00,11.5,11.6,11.3,11.35,1236277,,,,,,
2025-07-30T00:00:00+08:00,11.35,11.6,11.25,11.55,876515,,,,,,
2025-07-31T00:00:00+08:00,11.55,11.55,11.3,11.3,1115633,,,,,,
2025-08-01T00:00:00+08:00,11.2,11.4,11.15,11.35,739948,,,,,,
2025-08-04T00:00:00+08:00,11.25,11.4,11.2,11.35,605077,,,,,,
2025-08-05T00:00:00+08:00,11.5,11.5,11.25,11.35,1065246,,,,,,
2025-08-06T00:00:00+08:00,11.4,11.4,11.25,11.35,1184042,,,,,,
2025-08-07T00:00:00+08:00,11.35,11.4,11.2,11.25,2136865,,,,,,
