datetime,open,high,low,close,volume
2025-06-10T00:00:00+08:00,37.03,37.41,36.57,36.57,6742206
2025-06-11T00:00:00+08:00,36.82,37.73,36.82,37.29,4049105
2025-06-12T00:00:00+08:00,37.25,37.25,36.68,37.01,4159499
2025-06-13T00:00:00+08:00,36.8,36.8,36.2,36.34,5254381
2025-06-16T00:00:00+08:00,36.45,36.48,36.11,36.48,2813016
2025-06-17T00:00:00+08:00,36.63,36.68,36.26,36.53,2011006
2025-06-18T00:00:00+08:00,36.58,36.9,36.33,36.68,4682796
2025-06-19T00:00:00+08:00,36.54,36.64,36.12,36.29,2752701
2025-06-20T00:00:00+08:00,36.22,36.78,36.22,36.64,5255371
2025-06-23T00:00:00+08:00,36.37,36.65,36.0,36.56,4719458
2025-06-24T00:00:00+08:00,36.95,38.05,36.93,37.52,7130882
2025-06-25T00:00:00+08:00,37.88,37.96,37.43,37.96,4619978
2025-06-26T00:00:00+08:00,38.39,38.55,38.15,38.33,6851652
2025-06-27T00:00:00+08:00,38.33,38.39,37.28,37.37,8379832
2025-06-30T00:00:00+08:00,37.45,37.45,36.91,37.17,3022650
2025-07-01T00:00:00+08:00,37.35,37.66,37.19,37.64,3520851
2025-07-02T00:00:00+08:00,37.64,37.88,37.35,37.72,5587498
2025-07-03T00:00:00+08:00,37.5,37.87,37.43,37.79,3662519
2025-07-04T00:00:00+08:00,37.89,39.08,37.66,39.0,8777818
2025-07-07T00:00:00+08:00,38.76,38.76,38.15,38.24,3365853
2025-07-08T00:00:00+08:00,38.3,38.84,38.3,38.59,7158624
2025-07-09T00:00:00+08:00,38.71,39.37,38.62,39.3,6046074
2025-07-10T00:00:00+08:00,39.18,39.89,39.07,39.8,17647252
2025-07-11T00:00:00+08:00,39.91,40.91,39.75,40.5,12529921
2025-07-14T00:00:00+08:00,39.8,40.02,39.29,39.87,8286156
2025-07-15T00:00:00+08:00,39.81,40.0,39.05,39.25,10454491
2025-07-16T00:00:00+08:00,39.4,39.58,38.94,39.03,4286653
2025-07-17T00:00:00+08:00,39.06,39.48,39.03,39.25,2442507
2025-07-18T00:00:00+08:00,39.48,39.98,39.37,39.72,7274389
2025-07-21T00:00:00+08:00,40.08,40.26,39.91,40.09,2797719
2025-07-22T00:00:00+08:00,40.24,40.8,39.73,40.8,4302928
2025-07-23T00:00:00+08:00,40.92,41.87,40.92,41.69,12163192
2025-07-24T00:00:00+08:00,41.38,41.44,40.9,41.2,4606662
