datetime,open,high,low,close,volume,foreign_net_buy,invest_trust_net_buy,dealer_net_buy
2025-05-02T00:00:00+08:00,28.6,28.85,28.6,28.75,10003,,,
2025-05-05T00:00:00+08:00,30.35,30.35,29.0,29.0,5711,,,
2025-05-06T00:00:00+08:00,29.05,29.35,29.05,29.35,13553,,,
2025-05-07T00:00:00+08:00,29.35,29.45,29.3,29.45,3257,,,
2025-05-08T00:00:00+08:00,29.5,29.55,29.5,29.55,8062,,,
2025-05-09T00:00:00+08:00,30.05,30.65,30.0,30.6,28530,,,
2025-05-12T00:00:00+08:00,30.75,31.45,30.75,30.75,26024,,,
2025-05-13T00:00:00+08:00,30.7,30.7,30.7,30.7,3546,,,
2025-05-14T00:00:00+08:00,31.1,31.45,31.1,31.35,41339,,,
2025-05-15T00:00:00+08:00,31.35,31.65,31.2,31.2,11004,,,
2025-05-16T00:00:00+08:00,31.25,31.25,31.1,31.1,19112,,,
2025-05-19T00:00:00+08:00,30.95,31.5,30.8,31.5,19331,,,
2025-05-20T00:00:00+08:00,31.3,31.3,31.3,31.3,3616,,,
2025-05-21T00:00:00+08:00,31.0,31.55,31.0,31.5,27680,,,
2025-05-22T00:00:00+08:00,31.6,31.7,31.4,31.5,19165,,,
2025-05-23T00:00:00+08:00,31.5,31.5,31.5,31.5,2005,,,
2025-05-26T00:00:00+08:00,30.9,31.6,30.9,31.25,14749,,,
2025-05-27T00:00:00+08:00,31.6,31.6,30.6,30.85,12043,,,
2025-05-28T00:00:00+08:00,30.8,31.1,30.8,31.1,3082,,,
2025-06-02T00:00:00+08:00,30.8,30.8,30.5,30.5,7571,,,
2025-06-03T00:00:00+08:00,30.7,30.7,30.45,30.5,11038,,,
2025-06-04T00:00:00+08:00,30.8,30.8,30.7,30.75,7004,,,
2025-06-05T00:00:00+08:00,30.6,30.7,30.6,30.7,2682,,,
2025-06-06T00:00:00+08:00,30.6,30.6,30.0,30.4,22290,,,
2025-06-09T00:00:00+08:00,30.6,30.6,30.6,30.6,2368,,,
2025-06-10T00:00:00+08:00,30.85,30.9,30.65,30.65,9100,,,
2025-06-11T00:00:00+08:00,30.65,30.75,30.6,30.75,11099,,,
2025-06-12T00:00:00+08:00,30.45,30.9,30.45,30.9,26002,,,
2025-06-13T00:00:00+08:00,30.5,30.5,30.25,30.25,20426,,,
2025-06-16T00:00:00+08:00,30.25,30.5,30.25,30.5,12059,,,
2025-06-17T00:00:00+08:00,30.5,30.5,30.3,30.4,5312,,,
2025-06-18T00:00:00+08:00,30.35,30.5,30.3,30.5,10897,,,
2025-06-19T00:00:00+08:00,30.25,30.6,30.1,30.25,25978,,,
2025-06-20T00:00:00+08:00,30.25,30.7,29.95,30.7,88031,,,
2025-06-23T00:00:00+08:00,31.1,31.5,30.6,31.05,51464,,,
2025-06-24T00:00:00+08:00,31.1,31.8,31.1,31.5,61483,,,
2025-06-25T00:00:00+08:00,32.2,32.2,31.55,31.75,42209,,,
2025-06-26T00:00:00+08:00,31.75,32.0,31.25,31.75,30508,,,
2025-06-27T00:00:00+08:00,32.05,32.05,31.0,31.7,26839,,,
2025-06-30T00:00:00+08:00,31.25,31.7,31.25,31.7,11300,,,
2025-07-01T00:00:00+08:00,31.7,32.0,31.6,31.6,23010,,,
2025-07-02T00:00:00+08:00,31.6,31.85,31.5,31.7,38174,,,
2025-07-03T00:00:00+08:00,32.5,32.5,31.5,31.8,22017,,,
2025-07-04T00:00:00+08:00,32.2,32.2,31.45,31.85,7269,,,
2025-07-07T00:00:00+08:00,31.25,31.5,31.25,31.5,2003,,,
2025-07-08T00:00:00+08:00,31.3,31.3,31.1,31.3,11407,,,
2025-07-09T00:00:00+08:00,31.1,32.25,31.1,32.25,9897,,,
2025-07-10T00:00:00+08:00,32.25,32.25,31.25,31.8,17152,,,
2025-07-11T00:00:00+08:00,31.5,31.5,31.5,31.5,7039,,,
2025-07-14T00:00:00+08:00,31.5,31.6,31.3,31.6,17838,,,
2025-07-15T00:00:00+08:00,31.4,31.5,31.3,31.4,10635,,,
2025-07-16T00:00:00+08:00,31.0,31.2,31.0,31.15,5108,,,
2025-07-17T00:00:00+08:00,30.9,31.0,30.9,31.0,2221,,,
2025-07-18T00:00:00+08:00,31.2,31.5,31.0,31.5,12942,,,
2025-07-21T00:00:00+08:00,31.25,31.25,31.25,31.25,1003,,,
2025-07-22T00:00:00+08:00,31.4,31.5,31.05,31.05,7903,,,
2025-07-23T00:00:00+08:00,31.0,31.1,31.0,31.1,10682,,,
2025-07-24T00:00:00+08:00,31.1,31.1,30.9,31.1,13127,,,
2025-07-25T00:00:00+08:00,31.1,31.1,31.1,31.1,4232,,,
2025-07-28T00:00:00+08:00,30.95,31.05,30.95,31.05,2394,,,
2025-07-29T00:00:00+08:00,31.1,31.1,31.0,31.0,7233,,,
2025-07-30T00:00:00+08:00,31.1,31.25,31.0,31.05,13982,,,
2025-07-31T00:00:00+08:00,31.1,31.25,31.05,31.05,5880,,,
2025-08-01T00:00:00+08:00,31.05,31.05,30.7,30.9,12001,,,
2025-08-04T00:00:00+08:00,30.9,30.9,30.7,30.7,7102,,,
2025-08-05T00:00:00+08:00,30.7,31.0,30.7,30.9,14094,,,
2025-08-06T00:00:00+08:00,30.9,30.9,30.9,30.9,3501,,,
2025-08-07T00:00:00+08:00,31.0,31.0,30.9,30.9,3717,,,
2025-08-08T00:00:00+08:00,30.7,30.7,30.7,30.7,9681,,,
2025-08-11T00:00:00+08:00,31.75,31.75,30.65,31.0,9701,,,
2025-08-12T00:00:00+08:00,30.9,30.9,30.85,30.9,4003,,,
2025-08-13T00:00:00+08:00,30.8,30.9,30.5,30.9,24002,,,
2025-08-14T00:00:00+08:00,30.55,30.7,30.55,30.7,5246,,,
2025-08-15T00:00:00+08:00,30.4,30.4,30.35,30.4,8656,,,
2025-08-18T00:00:00+08:00,30.2,30.6,30.2,30.6,7351,,,
2025-08-19T00:00:00+08:00,30.5,30.5,30.05,30.25,9529,,,
2025-08-20T00:00:00+08:00,30.1,30.1,29.9,29.95,18001,,,
2025-08-21T00:00:00+08:00,29.6,29.85,29.5,29.85,17284,,,
2025-08-22T00:00:00+08:00,29.6,29.8,29.55,29.7,8528,,,
2025-08-25T00:00:00+08:00,29.7,29.7,29.3,29.4,6025,,,
2025-08-26T00:00:00+08:00,29.3,29.8,29.3,29.8,15851,,,
2025-08-27T00:00:00+08:00,29.15,29.6,29.15,29.6,8235,,,
2025-08-28T00:00:00+08:00,30.6,30.6,29.4,29.4,19727,,,
2025-08-29T00:00:00+08:00,29.4,30.25,29.25,29.25,14215,,,
2025-09-01T00:00:00+08:00,29.2,29.45,29.2,29.45,12932,,,
